chapter             chapter             
one                 one                 
the                 the                 
boy                 boy                 
who                 who                 
lived               live                
mr                  mr                  
and                 and                 
mrs                 mrs                 
dursley             dursley             
of                  of                  
number              number              
four                four                
privet              privet              
drive               drive               
were                be                  
proud               proud               
to                  to                  
say                 say                 
that                that                
they                they                
were                be                  
perfectly           perfectly           
normal              normal              
thank               thank               
you                 you                 
very                very                
much                much                
they                they                
were                be                  
the                 the                 
last                last                
people              people              
youd                youd                
expect              expect              
to                  to                  
be                  be                  
involved            involve             
in                  in                  
anything            anything            
strange             strange             
or                  or                  
mysterious          mysterious          
because             because             
they                they                
just                just                
didnt               didnt               
hold                hold                
with                with                
such                such                
nonsense            nonsense            
mr                  mr                  
dursley             dursley             
was                 be                  
the                 the                 
director            director            
of                  of                  
a                   a                   
firm                firm                
called              call                
grunnings           grunnings           
which               which               
made                make                
drills              drill               
he                  he                  
was                 be                  
a                   a                   
big                 big                 
beefy               beefy               
man                 man                 
with                with                
hardly              hardly              
any                 any                 
neck                neck                
although            although            
he                  he                  
did                 do                  
have                have                
a                   a                   
very                very                
large               large               
mustache            mustache            
mrs                 mrs                 
dursley             dursley             
was                 be                  
thin                thin                
and                 and                 
blonde              blonde              
and                 and                 
had                 have                
nearly              nearly              
twice               twice               
the                 the                 
usual               usual               
amount              amount              
of                  of                  
neck                neck                
which               which               
came                come                
in                  in                  
very                very                
useful              useful              
as                  as                  
she                 she                 
spent               spend               
so                  so                  
much                much                
of                  of                  
her                 her                 
time                time                
craning             crane               
over                over                
garden              garden              
fences              fence               
spying              spy                 
on                  on                  
the                 the                 
neighbors           neighbor            
the                 the                 
dursleys            dursleys            
had                 have                
a                   a                   
small               small               
son                 son                 
called              call                
dudley              dudley              
and                 and                 
in                  in                  
their               their               
opinion             opinion             
there               there               
was                 be                  
no                  no                  
finer               finer               
boy                 boy                 
anywhere            anywhere            
the                 the                 
dursleys            dursleys            
had                 have                
everything          everything          
they                they                
wanted              want                
but                 but                 
they                they                
also                also                
had                 have                
a                   a                   
secret              secret              
and                 and                 
their               their               
greatest            greatest            
fear                fear                
was                 be                  
that                that                
somebody            somebody            
would               would               
discover            discover            
it                  it                  
they                they                
didnt               didnt               
think               think               
they                they                
could               could               
bear                bear                
it                  it                  
if                  if                  
anyone              anyone              
found               find                
out                 out                 
about               about               
the                 the                 
potters             potter              
mrs                 mrs                 
potter              potter              
was                 be                  
mrs                 mrs                 
dursleys            dursleys            
sister              sister              
but                 but                 
they                they                
hadnt               hadnt               
met                 meet                
for                 for                 
several             several             
years               years               
in                  in                  
fact                fact                
mrs                 mrs                 
dursley             dursley             
pretended           pretend             
she                 she                 
didnt               didnt               
have                have                
a                   a                   
sister              sister              
because             because             
her                 her                 
sister              sister              
and                 and                 
her                 her                 
goodfornothing      goodfornothing      
husband             husband             
were                be                  
as                  as                  
undursleyish        undursleyish        
as                  as                  
it                  it                  
was                 be                  
possible            possible            
to                  to                  
be                  be                  
the                 the                 
dursleys            dursleys            
shuddered           shudder             
to                  to                  
think               think               
what                what                
the                 the                 
neighbors           neighbor            
would               would               
say                 say                 
if                  if                  
the                 the                 
potters             potter              
arrived             arrive              
in                  in                  
the                 the                 
street              street              
the                 the                 
dursleys            dursleys            
knew                know                
that                that                
the                 the                 
potters             potter              
had                 have                
a                   a                   
small               small               
son                 son                 
too                 too                 
but                 but                 
they                they                
had                 have                
never               never               
even                even                
seen                see                 
him                 him                 
this                this                
boy                 boy                 
was                 be                  
another             another             
good                good                
reason              reason              
for                 for                 
keeping             keep                
the                 the                 
potters             potter              
away                away                
they                they                
didnt               didnt               
want                want                
dudley              dudley              
mixing              mix                 
with                with                
a                   a                   
child               child               
like                like                
that                that                
when                when                
mr                  mr                  
and                 and                 
mrs                 mrs                 
dursley             dursley             
woke                wake                
up                  up                  
on                  on                  
the                 the                 
dull                dull                
gray                gray                
tuesday             tuesday             
our                 our                 
story               story               
starts              start               
there               there               
was                 be                  
nothing             nothing             
about               about               
the                 the                 
cloudy              cloudy              
sky                 sky                 
outside             outside             
to                  to                  
suggest             suggest             
that                that                
strange             strange             
and                 and                 
mysterious          mysterious          
things              things              
would               would               
soon                soon                
be                  be                  
happening           happen              
all                 all                 
over                over                
the                 the                 
country             country             
mr                  mr                  
dursley             dursley             
hummed              hum                 
as                  as                  
he                  he                  
picked              pick                
out                 out                 
his                 his                 
most                most                
boring              bore                
tie                 tie                 
for                 for                 
work                work                
and                 and                 
mrs                 mrs                 
dursley             dursley             
gossiped            gossip              
away                away                
happily             happily             
as                  as                  
she                 she                 
wrestled            wrestle             
a                   a                   
screaming           scream              
dudley              dudley              
into                into                
his                 his                 
high                high                
chair               chair               
none                none                
of                  of                  
them                them                
noticed             notice              
a                   a                   
large               large               
tawny               tawny               
owl                 owl                 
flutter             flutter             
past                past                
the                 the                 
window              window              
at                  at                  
half                half                
past                past                
eight               eight               
mr                  mr                  
dursley             dursley             
picked              pick                
up                  up                  
his                 his                 
briefcase           briefcase           
pecked              peck                
mrs                 mrs                 
dursley             dursley             
on                  on                  
the                 the                 
cheek               cheek               
and                 and                 
tried               try                 
to                  to                  
kiss                kiss                
dudley              dudley              
goodbye             goodbye             
but                 but                 
missed              miss                
because             because             
dudley              dudley              
was                 be                  
now                 now                 
having              have                
a                   a                   
tantrum             tantrum             
and                 and                 
throwing            throw               
his                 his                 
cereal              cereal              
at                  at                  
the                 the                 
walls               wall                
little              little              
tyke                tyke                
chortled            chortle             
mr                  mr                  
dursley             dursley             
as                  as                  
he                  he                  
left                leave               
the                 the                 
house               house               
he                  he                  
got                 get                 
into                into                
his                 his                 
car                 car                 
and                 and                 
backed              back                
out                 out                 
of                  of                  
number              number              
fours               fours               
drive               drive               
it                  it                  
was                 be                  
on                  on                  
the                 the                 
corner              corner              
of                  of                  
the                 the                 
street              street              
that                that                
he                  he                  
noticed             notice              
the                 the                 
first               first               
sign                sign                
of                  of                  
something           something           
peculiara           peculiara           
cat                 cat                 
reading             read                
a                   a                   
map                 map                 
for                 for                 
a                   a                   
second              second              
mr                  mr                  
dursley             dursley             
didnt               didnt               
realize             realize             
what                what                
he                  he                  
had                 have                
seenthen            seenthen            
he                  he                  
jerked              jerk                
his                 his                 
head                head                
around              around              
to                  to                  
look                look                
again               again               
there               there               
was                 be                  
a                   a                   
tabby               tabby               
cat                 cat                 
standing            stand               
on                  on                  
the                 the                 
corner              corner              
of                  of                  
privet              privet              
drive               drive               
but                 but                 
there               there               
wasnt               wasnt               
a                   a                   
map                 map                 
in                  in                  
sight               sight               
what                what                
could               could               
he                  he                  
have                have                
been                be                  
thinking            think               
of                  of                  
it                  it                  
must                must                
have                have                
been                be                  
a                   a                   
trick               trick               
of                  of                  
the                 the                 
light               light               
mr                  mr                  
dursley             dursley             
blinked             blink               
and                 and                 
stared              star                
at                  at                  
the                 the                 
cat                 cat                 
it                  it                  
stared              star                
back                back                
as                  as                  
mr                  mr                  
dursley             dursley             
drove               drive               
around              around              
the                 the                 
corner              corner              
and                 and                 
up                  up                  
the                 the                 
road                road                
he                  he                  
watched             watch               
the                 the                 
cat                 cat                 
in                  in                  
his                 his                 
mirror              mirror              
it                  it                  
was                 be                  
now                 now                 
reading             read                
the                 the                 
sign                sign                
that                that                
said                say                 
privet              privet              
driveno             driveno             
looking             look                
at                  at                  
the                 the                 
sign                sign                
cats                cat                 
couldnt             couldnt             
read                read                
maps                map                 
or                  or                  
signs               sign                
mr                  mr                  
dursley             dursley             
gave                give                
himself             himself             
a                   a                   
little              little              
shake               shake               
and                 and                 
put                 put                 
the                 the                 
cat                 cat                 
out                 out                 
of                  of                  
his                 his                 
mind                mind                
as                  as                  
he                  he                  
drove               drive               
toward              toward              
town                town                
he                  he                  
thought             think               
of                  of                  
nothing             nothing             
except              except              
a                   a                   
large               large               
order               order               
of                  of                  
drills              drill               
he                  he                  
was                 be                  
hoping              hop                 
to                  to                  
get                 get                 
that                that                
day                 day                 
but                 but                 
on                  on                  
the                 the                 
edge                edge                
of                  of                  
town                town                
drills              drill               
were                be                  
driven              drive               
out                 out                 
of                  of                  
his                 his                 
mind                mind                
by                  by                  
something           something           
else                else                
as                  as                  
he                  he                  
sat                 sit                 
in                  in                  
the                 the                 
usual               usual               
morning             morning             
traffic             traffic             
jam                 jam                 
he                  he                  
couldnt             couldnt             
help                help                
noticing            notice              
that                that                
there               there               
seemed              seem                
to                  to                  
be                  be                  
a                   a                   
lot                 lot                 
of                  of                  
strangely           strangely           
dressed             dress               
people              people              
about               about               
people              people              
in                  in                  
cloaks              cloak               
mr                  mr                  
dursley             dursley             
couldnt             couldnt             
bear                bear                
people              people              
who                 who                 
dressed             dress               
in                  in                  
funny               funny               
clothesthe          clothesthe          
getups              getups              
you                 you                 
saw                 saw                 
on                  on                  
young               young               
people              people              
he                  he                  
supposed            suppose             
this                this                
was                 be                  
some                some                
stupid              stupid              
new                 new                 
fashion             fashion             
he                  he                  
drummed             drum                
his                 his                 
fingers             finger              
on                  on                  
the                 the                 
steering            steer               
wheel               wheel               
and                 and                 
his                 his                 
eyes                eye                 
fell                fell                
on                  on                  
a                   a                   
huddle              huddle              
of                  of                  
these               these               
weirdos             weirdos             
standing            stand               
quite               quite               
close               close               
by                  by                  
they                they                
were                be                  
whispering          whisper             
excitedly           excitedly           
together            together            
mr                  mr                  
dursley             dursley             
was                 be                  
enraged             enrage              
to                  to                  
see                 see                 
that                that                
a                   a                   
couple              couple              
of                  of                  
them                them                
werent              werent              
young               young               
at                  at                  
all                 all                 
why                 why                 
that                that                
man                 man                 
had                 have                
to                  to                  
be                  be                  
older               older               
than                than                
he                  he                  
was                 be                  
and                 and                 
wearing             wear                
an                  an                  
emeraldgreen        emeraldgreen        
cloak               cloak               
the                 the                 
nerve               nerve               
of                  of                  
him                 him                 
but                 but                 
then                then                
it                  it                  
struck              strike              
mr                  mr                  
dursley             dursley             
that                that                
this                this                
was                 be                  
probably            probably            
some                some                
silly               silly               
stuntthese          stuntthese          
people              people              
were                be                  
obviously           obviously           
collecting          collect             
for                 for                 
something           something           
yes                 yes                 
that                that                
would               would               
be                  be                  
it                  it                  
the                 the                 
traffic             traffic             
moved               move                
on                  on                  
and                 and                 
a                   a                   
few                 few                 
minutes             minutes             
later               later               
mr                  mr                  
dursley             dursley             
arrived             arrive              
in                  in                  
the                 the                 
grunnings           grunnings           
parking             park                
lot                 lot                 
his                 his                 
mind                mind                
back                back                
on                  on                  
drills              drill               
mr                  mr                  
dursley             dursley             
always              always              
sat                 sit                 
with                with                
his                 his                 
back                back                
to                  to                  
the                 the                 
window              window              
in                  in                  
his                 his                 
office              office              
on                  on                  
the                 the                 
ninth               ninth               
floor               floor               
if                  if                  
he                  he                  
hadnt               hadnt               
he                  he                  
might               might               
have                have                
found               find                
it                  it                  
harder              harder              
to                  to                  
